Animal,SNP G,SNP H,Observation
1,$G_1G_1$,$H_1H_2$,510
2,$G_1G_2$,$H_1H_1$,528
3,$G_1G_2$,$H_1H_1$,505
4,$G_1G_1$,$H_2H_2$,539
5,$G_1G_1$,$H_1H_1$,530
6,$G_1G_2$,$H_1H_2$,489
7,$G_1G_2$,$H_2H_2$,486
8,$G_2G_2$,$H_1H_1$,485
9,$G_1G_2$,$H_2H_2$,478
10,$G_2G_2$,$H_1H_2$,479
11,$G_1G_1$,$H_1H_2$,520
12,$G_1G_1$,$H_1H_1$,521
13,$G_2G_2$,$H_1H_2$,473
14,$G_2G_2$,$H_1H_2$,457
15,$G_1G_2$,$H_1H_1$,497
16,$G_1G_2$,$H_1H_2$,516
17,$G_1G_1$,$H_1H_2$,524
18,$G_1G_1$,$H_1H_2$,502
19,$G_1G_1$,$H_2H_2$,508
20,$G_1G_2$,$H_1H_2$,506
